list_no,list_nm,finance_cd,term,base_month,account_cd,account_nm,column_id,column_nm,value
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A11,운용자산_현금및예치금,a,금액,274901637000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A11,운용자산_현금및예치금,a,금액,216570415000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A11,운용자산_현금및예치금,a,금액,175987257000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A11,운용자산_현금및예치금,a,금액,243000258000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A11,운용자산_현금및예치금,a,금액,193246140000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A11,운용자산_현금및예치금,a,금액,155322950000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A11,운용자산_현금및예치금,a,금액,120688864000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A11,운용자산_현금및예치금,a,금액,114809268000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A11,운용자산_현금및예치금,b,구성비,1.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A11,운용자산_현금및예치금,b,구성비,1.62
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A11,운용자산_현금및예치금,b,구성비,1.31
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A11,운용자산_현금및예치금,b,구성비,1.01
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A11,운용자산_현금및예치금,b,구성비,1.4
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A11,운용자산_현금및예치금,b,구성비,1.09
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A11,운용자산_현금및예치금,b,구성비,0.87
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A11,운용자산_현금및예치금,b,구성비,0.68
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A11,운용자산_현금및예치금,b,구성비,0.64
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A111,운용자산_현금및예치금_현금과예금,a,금액,170521362000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A111,운용자산_현금및예치금_현금과예금,a,금액,274901637000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A111,운용자산_현금및예치금_현금과예금,a,금액,216570415000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A111,운용자산_현금및예치금_현금과예금,a,금액,175987257000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A111,운용자산_현금및예치금_현금과예금,a,금액,243000258000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A111,운용자산_현금및예치금_현금과예금,a,금액,193246140000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A111,운용자산_현금및예치금_현금과예금,a,금액,155322950000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A111,운용자산_현금및예치금_현금과예금,a,금액,120688864000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A111,운용자산_현금및예치금_현금과예금,a,금액,114809268000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A111,운용자산_현금및예치금_현금과예금,b,구성비,1.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A111,운용자산_현금및예치금_현금과예금,b,구성비,1.62
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A111,운용자산_현금및예치금_현금과예금,b,구성비,1.31
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A111,운용자산_현금및예치금_현금과예금,b,구성비,1.01
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A111,운용자산_현금및예치금_현금과예금,b,구성비,1.4
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A111,운용자산_현금및예치금_현금과예금,b,구성비,1.09
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A111,운용자산_현금및예치금_현금과예금,b,구성비,0.87
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A111,운용자산_현금및예치금_현금과예금,b,구성비,0.68
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A111,운용자산_현금및예치금_현금과예금,b,구성비,0.64
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A1111,운용자산_현금및예치금_현금과예금_현금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A1111,운용자산_현금및예치금_현금과예금_현금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A1111,운용자산_현금및예치금_현금과예금_현금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A1111,운용자산_현금및예치금_현금과예금_현금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A1111,운용자산_현금및예치금_현금과예금_현금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A1111,운용자산_현금및예치금_현금과예금_현금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A1111,운용자산_현금및예치금_현금과예금_현금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A1111,운용자산_현금및예치금_현금과예금_현금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A1111,운용자산_현금및예치금_현금과예금_현금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A1111,운용자산_현금및예치금_현금과예금_현금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A1111,운용자산_현금및예치금_현금과예금_현금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A1111,운용자산_현금및예치금_현금과예금_현금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A1111,운용자산_현금및예치금_현금과예금_현금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A1111,운용자산_현금및예치금_현금과예금_현금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A1111,운용자산_현금및예치금_현금과예금_현금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A1111,운용자산_현금및예치금_현금과예금_현금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A1111,운용자산_현금및예치금_현금과예금_현금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A1111,운용자산_현금및예치금_현금과예금_현금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A1112,운용자산_현금및예치금_현금과예금_당좌예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A1112,운용자산_현금및예치금_현금과예금_당좌예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A1112,운용자산_현금및예치금_현금과예금_당좌예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A1112,운용자산_현금및예치금_현금과예금_당좌예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A1112,운용자산_현금및예치금_현금과예금_당좌예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A1112,운용자산_현금및예치금_현금과예금_당좌예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A1112,운용자산_현금및예치금_현금과예금_당좌예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A1112,운용자산_현금및예치금_현금과예금_당좌예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A1112,운용자산_현금및예치금_현금과예금_당좌예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A1112,운용자산_현금및예치금_현금과예금_당좌예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A1112,운용자산_현금및예치금_현금과예금_당좌예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A1112,운용자산_현금및예치금_현금과예금_당좌예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A1112,운용자산_현금및예치금_현금과예금_당좌예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A1112,운용자산_현금및예치금_현금과예금_당좌예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A1112,운용자산_현금및예치금_현금과예금_당좌예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A1112,운용자산_현금및예치금_현금과예금_당좌예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A1112,운용자산_현금및예치금_현금과예금_당좌예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A1112,운용자산_현금및예치금_현금과예금_당좌예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A1113,운용자산_현금및예치금_현금과예금_보통예금,a,금액,23734233000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A1113,운용자산_현금및예치금_현금과예금_보통예금,a,금액,15993871000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A1113,운용자산_현금및예치금_현금과예금_보통예금,a,금액,38118161000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A1113,운용자산_현금및예치금_현금과예금_보통예금,a,금액,12506203000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A1113,운용자산_현금및예치금_현금과예금_보통예금,a,금액,10867773000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A1113,운용자산_현금및예치금_현금과예금_보통예금,a,금액,11829000000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A1113,운용자산_현금및예치금_현금과예금_보통예금,a,금액,16447312000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A1113,운용자산_현금및예치금_현금과예금_보통예금,a,금액,15011132000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A1113,운용자산_현금및예치금_현금과예금_보통예금,a,금액,14839211000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A1113,운용자산_현금및예치금_현금과예금_보통예금,b,구성비,0.14
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A1113,운용자산_현금및예치금_현금과예금_보통예금,b,구성비,0.09
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A1113,운용자산_현금및예치금_현금과예금_보통예금,b,구성비,0.23
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A1113,운용자산_현금및예치금_현금과예금_보통예금,b,구성비,0.07
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A1113,운용자산_현금및예치금_현금과예금_보통예금,b,구성비,0.06
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A1113,운용자산_현금및예치금_현금과예금_보통예금,b,구성비,0.07
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A1113,운용자산_현금및예치금_현금과예금_보통예금,b,구성비,0.09
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A1113,운용자산_현금및예치금_현금과예금_보통예금,b,구성비,0.08
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A1113,운용자산_현금및예치금_현금과예금_보통예금,b,구성비,0.08
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A1114,운용자산_현금및예치금_현금과예금_정기예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A1114,운용자산_현금및예치금_현금과예금_정기예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A1114,운용자산_현금및예치금_현금과예금_정기예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A1114,운용자산_현금및예치금_현금과예금_정기예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A1114,운용자산_현금및예치금_현금과예금_정기예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A1114,운용자산_현금및예치금_현금과예금_정기예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A1114,운용자산_현금및예치금_현금과예금_정기예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A1114,운용자산_현금및예치금_현금과예금_정기예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A1114,운용자산_현금및예치금_현금과예금_정기예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A1114,운용자산_현금및예치금_현금과예금_정기예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A1114,운용자산_현금및예치금_현금과예금_정기예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A1114,운용자산_현금및예치금_현금과예금_정기예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A1114,운용자산_현금및예치금_현금과예금_정기예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A1114,운용자산_현금및예치금_현금과예금_정기예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A1114,운용자산_현금및예치금_현금과예금_정기예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A1114,운용자산_현금및예치금_현금과예금_정기예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A1114,운용자산_현금및예치금_현금과예금_정기예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A1114,운용자산_현금및예치금_현금과예금_정기예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A1115,운용자산_현금및예치금_현금과예금_정기적금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A1115,운용자산_현금및예치금_현금과예금_정기적금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A1115,운용자산_현금및예치금_현금과예금_정기적금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A1115,운용자산_현금및예치금_현금과예금_정기적금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A1115,운용자산_현금및예치금_현금과예금_정기적금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A1115,운용자산_현금및예치금_현금과예금_정기적금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A1115,운용자산_현금및예치금_현금과예금_정기적금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A1115,운용자산_현금및예치금_현금과예금_정기적금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A1115,운용자산_현금및예치금_현금과예금_정기적금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A1115,운용자산_현금및예치금_현금과예금_정기적금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A1115,운용자산_현금및예치금_현금과예금_정기적금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A1115,운용자산_현금및예치금_현금과예금_정기적금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A1115,운용자산_현금및예치금_현금과예금_정기적금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A1115,운용자산_현금및예치금_현금과예금_정기적금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A1115,운용자산_현금및예치금_현금과예금_정기적금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A1115,운용자산_현금및예치금_현금과예금_정기적금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A1115,운용자산_현금및예치금_현금과예금_정기적금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A1115,운용자산_현금및예치금_현금과예금_정기적금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A1116,운용자산_현금및예치금_현금과예금_해외제예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A1116,운용자산_현금및예치금_현금과예금_해외제예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A1116,운용자산_현금및예치금_현금과예금_해외제예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A1116,운용자산_현금및예치금_현금과예금_해외제예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A1116,운용자산_현금및예치금_현금과예금_해외제예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A1116,운용자산_현금및예치금_현금과예금_해외제예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A1116,운용자산_현금및예치금_현금과예금_해외제예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A1116,운용자산_현금및예치금_현금과예금_해외제예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A1116,운용자산_현금및예치금_현금과예금_해외제예금,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A1116,운용자산_현금및예치금_현금과예금_해외제예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A1116,운용자산_현금및예치금_현금과예금_해외제예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A1116,운용자산_현금및예치금_현금과예금_해외제예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A1116,운용자산_현금및예치금_현금과예금_해외제예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A1116,운용자산_현금및예치금_현금과예금_해외제예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A1116,운용자산_현금및예치금_현금과예금_해외제예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A1116,운용자산_현금및예치금_현금과예금_해외제예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A1116,운용자산_현금및예치금_현금과예금_해외제예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A1116,운용자산_현금및예치금_현금과예금_해외제예금,b,구성비,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A1117,운용자산_현금및예치금_현금과예금_기타예금,a,금액,146787129000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A1117,운용자산_현금및예치금_현금과예금_기타예금,a,금액,258907766000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A1117,운용자산_현금및예치금_현금과예금_기타예금,a,금액,178452254000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A1117,운용자산_현금및예치금_현금과예금_기타예금,a,금액,163481054000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A1117,운용자산_현금및예치금_현금과예금_기타예금,a,금액,232132485000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A1117,운용자산_현금및예치금_현금과예금_기타예금,a,금액,181417140000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A1117,운용자산_현금및예치금_현금과예금_기타예금,a,금액,138875638000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A1117,운용자산_현금및예치금_현금과예금_기타예금,a,금액,105677732000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A1117,운용자산_현금및예치금_현금과예금_기타예금,a,금액,99970057000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A1117,운용자산_현금및예치금_현금과예금_기타예금,b,구성비,0.86
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A1117,운용자산_현금및예치금_현금과예금_기타예금,b,구성비,1.53
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A1117,운용자산_현금및예치금_현금과예금_기타예금,b,구성비,1.08
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A1117,운용자산_현금및예치금_현금과예금_기타예금,b,구성비,0.94
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A1117,운용자산_현금및예치금_현금과예금_기타예금,b,구성비,1.34
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A1117,운용자산_현금및예치금_현금과예금_기타예금,b,구성비,1.03
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A1117,운용자산_현금및예치금_현금과예금_기타예금,b,구성비,0.77
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A1117,운용자산_현금및예치금_현금과예금_기타예금,b,구성비,0.59
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A1117,운용자산_현금및예치금_현금과예금_기타예금,b,구성비,0.56
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A12,운용자산_현금및예치금_금전신탁,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A12,운용자산_현금및예치금_금전신탁,a,금액,0.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A12,운용자산_현금및예치금_금전신탁,a,금액,0.0
