list_no,list_nm,account_cd,account_nm,column_id,column_nm
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B9,유가증권_당기손익인식증권_기타유가증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C,유가증권_매도가능증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C,유가증권_매도가능증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C0,유가증권_매도가능증권_주식,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C0,유가증권_매도가능증권_주식,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C1,유가증권_매도가능증권_출자금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C1,유가증권_매도가능증권_출자금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C2,유가증권_매도가능증권_국·공채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C2,유가증권_매도가능증권_국·공채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C20,유가증권_매도가능증권_국·공채_국채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C20,유가증권_매도가능증권_국·공채_국채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C21,유가증권_매도가능증권_국·공채_공채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C21,유가증권_매도가능증권_국·공채_공채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C3,유가증권_매도가능증권_특수채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C3,유가증권_매도가능증권_특수채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C4,유가증권_매도가능증권_금융채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C4,유가증권_매도가능증권_금융채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C5,유가증권_매도가능증권_회사채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C5,유가증권_매도가능증권_회사채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C6,유가증권_매도가능증권_수익증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C6,유가증권_매도가능증권_수익증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C7,유가증권_매도가능증권_외화유가증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C7,유가증권_매도가능증권_외화유가증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C70,유가증권_매도가능증권_외화유가증권_주식,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C70,유가증권_매도가능증권_외화유가증권_주식,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C71,유가증권_매도가능증권_외화유가증권_채권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C71,유가증권_매도가능증권_외화유가증권_채권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C72,유가증권_매도가능증권_외화유가증권_수익증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C72,유가증권_매도가능증권_외화유가증권_수익증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C73,유가증권_매도가능증권_외화유가증권_신종유가증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C73,유가증권_매도가능증권_외화유가증권_신종유가증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C74,유가증권_매도가능증권_외화유가증권_기타유가증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C74,유가증권_매도가능증권_외화유가증권_기타유가증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C8,유가증권_매도가능증권_기타유가증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C8,유가증권_매도가능증권_기타유가증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D,유가증권_만기보유증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D,유가증권_만기보유증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D0,유가증권_만기보유증권_국·공채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D0,유가증권_만기보유증권_국·공채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D00,유가증권_만기보유증권_국·공채_국채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D00,유가증권_만기보유증권_국·공채_국채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D01,유가증권_만기보유증권_국·공채_공채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D01,유가증권_만기보유증권_국·공채_공채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D1,유가증권_만기보유증권_특수채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D1,유가증권_만기보유증권_특수채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D2,유가증권_만기보유증권_금융채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D2,유가증권_만기보유증권_금융채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D3,유가증권_만기보유증권_회사채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D3,유가증권_만기보유증권_회사채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D4,유가증권_만기보유증권_수익증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D4,유가증권_만기보유증권_수익증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D5,유가증권_만기보유증권_외화유가증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D5,유가증권_만기보유증권_외화유가증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D50,유가증권_만기보유증권_외화유가증권_채권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D50,유가증권_만기보유증권_외화유가증권_채권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D51,유가증권_만기보유증권_외화유가증권_수익증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D51,유가증권_만기보유증권_외화유가증권_수익증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D52,유가증권_만기보유증권_외화유가증권_신종유가증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D52,유가증권_만기보유증권_외화유가증권_신종유가증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D53,유가증권_만기보유증권_외화유가증권_기타유가증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D53,유가증권_만기보유증권_외화유가증권_기타유가증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D6,유가증권_만기보유증권_기타유가증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D6,유가증권_만기보유증권_기타유가증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12E,유가증권_관계·종속기업투자주식,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12E,유가증권_관계·종속기업투자주식,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12E0,유가증권_관계·종속기업투자주식_(종속기업투자자산),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12E0,유가증권_관계·종속기업투자주식_(종속기업투자자산),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12E1,유가증권_관계·종속기업투자주식_(관계기업투자자산),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12E1,유가증권_관계·종속기업투자주식_(관계기업투자자산),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12E2,유가증권_관계·종속기업투자주식_주식,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12E2,유가증권_관계·종속기업투자주식_주식,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12E3,유가증권_관계·종속기업투자주식_출자금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12E3,유가증권_관계·종속기업투자주식_출자금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12E4,유가증권_관계·종속기업투자주식_기타,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12E4,유가증권_관계·종속기업투자주식_기타,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14,대출채권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14,대출채권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A141,대출채권_(현재가치할인차금),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A141,대출채권_(현재가치할인차금),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A142,대출채권_(대손충당금),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A142,대출채권_(대손충당금),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1421,대출채권_개인,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1421,대출채권_개인,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1422,대출채권_기업,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1422,대출채권_기업,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14221,대출채권_기업_대기업,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14221,대출채권_기업_대기업,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14222,대출채권_기업_중소기업,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14222,대출채권_기업_중소기업,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A143,대출채권_콜론,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A143,대출채권_콜론,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A144,대출채권_보험약관대출금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A144,대출채권_보험약관대출금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A145,대출채권_유가증권담보대출금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A145,대출채권_유가증권담보대출금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A146,대출채권_부동산담보대출금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A146,대출채권_부동산담보대출금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A147,대출채권_신용대출금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A147,대출채권_신용대출금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A148,대출채권_어음할인대출금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A148,대출채권_어음할인대출금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A149,대출채권_지급보증대출금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A149,대출채권_지급보증대출금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14A,대출채권_기타대출금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14A,대출채권_기타대출금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14A0,대출채권_기타대출금_주택보험대출,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14A0,대출채권_기타대출금_주택보험대출,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14A1,대출채권_기타대출금_사모사채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14A1,대출채권_기타대출금_사모사채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14A2,대출채권_기타대출금_CP,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14A2,대출채권_기타대출금_CP,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14A3,대출채권_기타대출금_기타,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14A3,대출채권_기타대출금_기타,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14B,대출채권_(이연대출부대손익),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14B,대출채권_(이연대출부대손익),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A15,부동산,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A15,부동산,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A151,부동산_(손상차손누계액),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A151,부동산_(손상차손누계액),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A152,부동산_토지,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A152,부동산_토지,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A153,부동산_건물,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A153,부동산_건물,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1530,부동산_건물_(감가상각누계액),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1530,부동산_건물_(감가상각누계액),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A154,부동산_구축물,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A154,부동산_구축물,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1540,부동산_구축물_(감가상각누계액),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1540,부동산_구축물_(감가상각누계액),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A155,부동산_해외부동산,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A155,부동산_해외부동산,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1550,부동산_해외부동산_(감가상각누계액),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1550,부동산_해외부동산_(감가상각누계액),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1551,부동산_해외부동산_토지,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1551,부동산_해외부동산_토지,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1552,부동산_해외부동산_건물,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1552,부동산_해외부동산_건물,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1553,부동산_해외부동산_구축물,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1553,부동산_해외부동산_구축물,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1554,부동산_해외부동산_건설중인자산,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1554,부동산_해외부동산_건설중인자산,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A156,부동산_건설중인자산,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A156,부동산_건설중인자산,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A157,부동산_기타부동산,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A157,부동산_기타부동산,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1570,부동산_기타부동산_(감가상각누계액),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1570,부동산_기타부동산_(감가상각누계액),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A158,부동산_투자부동산,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A158,부동산_투자부동산,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1580,부동산_투자부동산_투자부동산(토지),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1580,부동산_투자부동산_투자부동산(토지),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1581,부동산_투자부동산_투자부동산(건물),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1581,부동산_투자부동산_투자부동산(건물),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1582,부동산_투자부동산_투자부동산(해외부동산),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1582,부동산_투자부동산_투자부동산(해외부동산),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1583,부동산_투자부동산_투자부동산(기타),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1583,부동산_투자부동산_투자부동산(기타),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2,비운용자산,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2,비운용자산,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A20,재보험자산,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A20,재보험자산,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A21,보험미수금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A21,보험미수금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A210,보험미수금_(대손충당금),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A210,보험미수금_(대손충당금),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A211,보험미수금_대리점미수금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A211,보험미수금_대리점미수금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A212,보험미수금_재보험미수금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A212,보험미수금_재보험미수금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A213,보험미수금_외국재보험미수금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A213,보험미수금_외국재보험미수금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A214,보험미수금_기타보험미수금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A214,보험미수금_기타보험미수금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A22,미수금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A22,미수금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A220,미수금_(대손충당금 등),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A220,미수금_(대손충당금 등),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A23,보증금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A23,보증금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A230,보증금_(대손충당금 등),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A230,보증금_(대손충당금 등),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A231,보증금_공탁금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A231,보증금_공탁금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A232,보증금_예탁보증금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A232,보증금_예탁보증금,b,구성비
