list_no,list_nm,account_cd,account_nm,within_account_nm,still_otm
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D53,유가증권_만기보유증권_외화유가증권_기타유가증권,기타유가증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D6,유가증권_만기보유증권_기타유가증권,기타유가증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12E,유가증권_관계·종속기업투자주식,관계·종속기업투자주식,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12E0,유가증권_관계·종속기업투자주식_(종속기업투자자산),(종속기업투자자산),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12E1,유가증권_관계·종속기업투자주식_(관계기업투자자산),(관계기업투자자산),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12E2,유가증권_관계·종속기업투자주식_주식,주식,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12E3,유가증권_관계·종속기업투자주식_출자금,출자금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12E4,유가증권_관계·종속기업투자주식_기타,기타,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14,대출채권,대출채권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A141,대출채권_(현재가치할인차금),(현재가치할인차금),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A142,대출채권_(대손충당금),(대손충당금),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1421,대출채권_개인,대출채권_개인,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1422,대출채권_기업,대출채권_기업,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14221,대출채권_기업_대기업,대기업,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14222,대출채권_기업_중소기업,중소기업,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A143,대출채권_콜론,콜론,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A144,대출채권_보험약관대출금,보험약관대출금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A145,대출채권_유가증권담보대출금,유가증권담보대출금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A146,대출채권_부동산담보대출금,부동산담보대출금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A147,대출채권_신용대출금,신용대출금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A148,대출채권_어음할인대출금,어음할인대출금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A149,대출채권_지급보증대출금,지급보증대출금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14A,대출채권_기타대출금,기타대출금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14A0,대출채권_기타대출금_주택보험대출,주택보험대출,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14A1,대출채권_기타대출금_사모사채,사모사채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14A2,대출채권_기타대출금_CP,CP,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14A3,대출채권_기타대출금_기타,기타,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A14B,대출채권_(이연대출부대손익),(이연대출부대손익),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A15,부동산,부동산,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A151,부동산_(손상차손누계액),(손상차손누계액),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A152,부동산_토지,토지,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A153,부동산_건물,건물,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1530,부동산_건물_(감가상각누계액),(감가상각누계액),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A154,부동산_구축물,구축물,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1540,부동산_구축물_(감가상각누계액),(감가상각누계액),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A155,부동산_해외부동산,해외부동산,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1550,부동산_해외부동산_(감가상각누계액),(감가상각누계액),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1551,부동산_해외부동산_토지,토지,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1552,부동산_해외부동산_건물,건물,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1553,부동산_해외부동산_구축물,구축물,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1554,부동산_해외부동산_건설중인자산,건설중인자산,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A156,부동산_건설중인자산,건설중인자산,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A157,부동산_기타부동산,기타부동산,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1570,부동산_기타부동산_(감가상각누계액),(감가상각누계액),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A158,부동산_투자부동산,투자부동산,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1580,부동산_투자부동산_투자부동산(토지),투자부동산(토지),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1581,부동산_투자부동산_투자부동산(건물),투자부동산(건물),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1582,부동산_투자부동산_투자부동산(해외부동산),투자부동산(해외부동산),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1583,부동산_투자부동산_투자부동산(기타),투자부동산(기타),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2,비운용자산,비운용자산,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A20,재보험자산,재보험자산,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A21,보험미수금,보험미수금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A210,보험미수금_(대손충당금),(대손충당금),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A211,보험미수금_대리점미수금,대리점미수금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A212,보험미수금_재보험미수금,재보험미수금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A213,보험미수금_외국재보험미수금,외국재보험미수금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A214,보험미수금_기타보험미수금,기타보험미수금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A22,미수금,미수금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A220,미수금_(대손충당금 등),(대손충당금 등),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A23,보증금,보증금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A230,보증금_(대손충당금 등),(대손충당금 등),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A231,보증금_공탁금,공탁금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A232,보증금_예탁보증금,예탁보증금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A233,보증금_임차보증금,임차보증금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A234,보증금_기타보증금,기타보증금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A24,미수수익,미수수익,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A240,미수수익_(대손충당금),(대손충당금),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A25,선급비용,선급비용,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A26,선급법인세,선급법인세,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A27,선급부가세,선급부가세,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A28,선급금,선급금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A280,선급금_일반선급금,일반선급금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A281,선급금_부동산매입선급금,부동산매입선급금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A29,가지급금,가지급금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A290,가지급금_(대손충당금),(대손충당금),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A291,가지급금_일반가지급금,일반가지급금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A292,가지급금_부동산매입가지급금,부동산매입가지급금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2A,가지급보험금,가지급보험금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2B,본지점계정차,본지점계정차,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2C,차량운반구,차량운반구,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2C0,차량운반구_(감가상각누계액),(감가상각누계액),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2D,비품,비품,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2D0,비품_(감가상각누계액),(감가상각누계액),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2E,미상각신계약비,미상각신계약비,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2F,이연법인세자산,이연법인세자산,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2G,파생상품자산,파생상품자산,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2G0,파생상품자산_(매매목적파생상품),(매매목적파생상품),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2G1,파생상품자산_(헤지목적파생상품),(헤지목적파생상품),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2G2,파생상품자산_이자율관련,이자율관련,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2G3,파생상품자산_통화관련,통화관련,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2G4,파생상품자산_주식관련,주식관련,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2G5,파생상품자산_신용관련,신용관련,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2G6,파생상품자산_기타,기타,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2H,무형자산,무형자산,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2H0,무형자산_(손상차손누계액),(손상차손누계액),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2H1,무형자산_영업권,영업권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2H2,무형자산_소프트웨어,소프트웨어,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2H3,무형자산_개발비,개발비,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2H4,무형자산_기타의무형자산,기타의무형자산,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2I,기타의유형자산,기타의유형자산,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2I00,특별계정미수금_퇴직보험,특별계정미수금_퇴직보험,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2I01,특별계정미수금_퇴직연금,특별계정미수금_퇴직연금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2I02,특별계정미수금_변액보험,특별계정미수금_변액보험,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2I03,특별계정미수금_기타,특별계정미수금_기타,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2J,특별계정미수금,특별계정미수금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2K,기타의비운용자산,기타의비운용자산,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2Z,임차점포시설물,임차점포시설물,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A2Z0,임차점포시설물_(감가상각누계액),(감가상각누계액),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A3,특별계정자산,특별계정자산,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A31,특별계정자산_퇴직보험,퇴직보험,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A32,특별계정자산_변액보험,변액보험,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A33,특별계정자산_퇴직연금,퇴직연금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A4,특별계정자산_(특별계정미지급금),특별계정자산_(특별계정미지급금),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),AA,(현금및현금성자산),(현금및현금성자산),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),AB,(단기매매금융자산),(단기매매금융자산),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),AC,(당기손익인식지정금융자산),(당기손익인식지정금융자산),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),AD,(매도가능금융자산),(매도가능금융자산),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),AE,(만기보유금융자산),(만기보유금융자산),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),AF,(관계·종속기업투자주식),(관계·종속기업투자주식),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),AG,(대여금및수취채권),(대여금및수취채권),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),AH,(위험회피회계적용파생상품자산),(위험회피회계적용파생상품자산),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),AI,(비금융자산),(비금융자산),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),AJ,(매각예정처분자산집단에포함된자산),(매각예정처분자산집단에포함된자산),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),AK,(특별계정자산),(특별계정자산),0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A,부채및자본총계,부채및자본총계,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1,부채총계,부채총계,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A11,책임준비금,책임준비금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A112,책임준비금_보험료적립금,보험료적립금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A113,책임준비금_미경과보험료적립금,미경과보험료적립금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A114,책임준비금_지급준비금,지급준비금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A115,책임준비금_계약자배당준비금,계약자배당준비금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1151,책임준비금_계약자배당준비금_금리차보장준비금,금리차보장준비금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1152,책임준비금_계약자배당준비금_위험율차배당준비금,위험율차배당준비금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1153,책임준비금_계약자배당준비금_이차배당준비금,이차배당준비금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1154,책임준비금_계약자배당준비금_비차배당준비금,비차배당준비금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1155,책임준비금_계약자배당준비금_장기유지특별배당준비금,장기유지특별배당준비금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1156,책임준비금_계약자배당준비금_재평가특별배당준비금,재평가특별배당준비금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A116,책임준비금_계약자이익배당준비금,계약자이익배당준비금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A117,책임준비금_재보험료적립금,재보험료적립금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A118,책임준비금_배당보험손실보전준비금,배당보험손실보전준비금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A119,책임준비금_보증준비금,보증준비금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1190,책임준비금_보증준비금_최저연금적립금보증,최저연금적립금보증,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1191,책임준비금_보증준비금_최저사망보험금보증,최저사망보험금보증,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1192,책임준비금_보증준비금_최저중도인출금보증,최저중도인출금보증,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1193,책임준비금_보증준비금_최저종신중도인출금보증,최저종신중도인출금보증,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1194,책임준비금_보증준비금_기타,기타,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A12,계약자지분조정,계약자지분조정,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A121,계약자지분조정_계약자배당안정화준비금,계약자배당안정화준비금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A122,계약자지분조정_공익사업출연기금,공익사업출연기금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A123,계약자지분조정_매도가능금융자산 평가손익,매도가능금융자산 평가손익,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A124,계약자지분조정_재평가적립금,재평가적립금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A125,계약자지분조정_재평가잉여금,재평가잉여금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A126,계약자지분조정_관계·종속기업투자주식평가손익,관계·종속기업투자주식평가손익,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A13,기타부채,기타부채,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A131,기타부채_보험미지급금,보험미지급금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1310,기타부채_보험미지급금_대리점미지급금,대리점미지급금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1311,기타부채_보험미지급금_재보험미지급금,재보험미지급금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1312,기타부채_보험미지급금_외국재보험미지급금,외국재보험미지급금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1313,기타부채_보험미지급금_기타보험미지급금,기타보험미지급금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A132,기타부채_미지급금,미지급금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A133,기타부채_미지급비용,미지급비용,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A135,기타부채_미지급법인세,미지급법인세,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A136,기타부채_당좌차월,당좌차월,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A137,기타부채_차입금,차입금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1370,기타부채_차입금_콜머니,콜머니,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1371,기타부채_차입금_RP매도,RP매도,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1372,기타부채_차입금_후순위차입,후순위차입,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1373,기타부채_차입금_기업어음의 발행,기업어음의 발행,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1374,기타부채_차입금_기타,기타,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A138,기타부채_사채,사채,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1380,기타부채_사채_후순위채권,후순위채권,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A1381,기타부채_사채_일반채권,일반채권,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A139,기타부채_선수금,선수금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A13A,기타부채_선수수익,선수수익,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A13B,기타부채_예수금,예수금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A13C,기타부채_미지급부가세,미지급부가세,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A13D,기타부채_가수금,가수금,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A13E,기타부채_가수보험료,가수보험료,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A13F,기타부채_선수보험료,선수보험료,0
SH004,요약재무상태표(부채 및 자본(22.12월 이전)),A13G,기타부채_본지점계정대,본지점계정대,0
